"","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"US_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00205305277985205,0.00791579282023086,0.157361345005716,0.198647946811655,0.101020182249611,0.258237312353912,0.548803261812738,0.417036476745159,0.0924015913340603,-0.061277058057031,0.0720028019565065,-0.104988065318602,-0.263544565922666,0.0912797456121486,0.0515089574704269,0.240390435745547,0.135799873959105,-0.116627023898371,-0.473252419719144,-0.162652789774793,-0.140595270024586,-0.185847753386972,-0.443479685293573,-0.479809286821672,NA,NA
"CAN_ERLY_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.228562221952453,0.851049689837772,-0.0265692128246142,-0.32959061355285,-0.244818805675112,0.0639709496642711,-0.276367498234626,-0.314328176384429,-0.0525678340686238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAN_LATE_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.381011792976746,-0.448153688533353,-0.359714517842506,-0.583448433550124,-0.700617526629705,-0.684253919312643,-0.520522496957169,0.00505598086576597,-0.25734657050802,-0.19698316062537,-0.14892026726017,0.287389002818546,-0.0569576710359652,0.141328035251346,0.0353385536097521,-0.158065074945914,0.104413286920006,-0.301123948715727,0.03546428292342,0.295041854564946,0.520978929474751,0.156440572105102,0.260426366257496,0.596037196924325,0.205254569295307,0.151442335453063,0.312404154969739,0.222072810902384,0.123970007776804,0.319687038922116,0.127850087791351,0.461147426959293,0.144590769477142,0.228271371461654,0.264630644745655,0.0377970604536282,0.0141963704450419,-0.31583886549805,NA
"JPN_ERLY_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.985383939235927,0.595636539891697,0.714936262789815,-0.672933437964681,-0.695148330783204,-0.35688455253535,-0.161968036193059,0.234054032039819,0.0894988997379107,0.410698848757927,0.445678466093675,0.481376476795984,0.00297204125435258,0.296601876242396,0.519498903149763,0.440641305737115,0.0299839842875955,-0.213236575329546,-0.160175572453452,-0.0207210038981689,-0.685050538018942,-1.05320073500825,-0.750262693486251,-0.236273626474601,-0.298851948451546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JPN_MID_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.668556024577516,-0.499105243836304,-0.0688777179776707,0.585393822154881,0.56515912333899,NA,NA,NA,NA,NA,NA,NA
"JPN_LATE_7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453948777651801,0.255242945906544,-0.710150310602169,-0.286687190669574,0.201978823529559,NA,NA
"PORT_8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.290282748436146,0.00515074624298784,0.0100979485258366,-0.197329406911908,-0.0868856414241916,0.097137441733337,-0.172509275241808,-0.142432211977447,-0.0891309797487727,-0.197844562515241,-0.0730140408708735,0.0321402953135825,-0.126759728611044,0.190092276079305,0.191662615803987,0.10616506879165,0.358294246601756,0.271842676160579,NA
"MOR_10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.594544382034047,-0.0739077557074586,-0.302601218148612,-0.0843174631303594,-0.142032327958236,0.27303934905415,-0.103249621448564,-0.0441377653687347,0.119655411229707,-0.174896395420418,-0.127612553317854,-0.00290336340899344,NA
"Age.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256595455184239,0.0333498944925138,0.13077618896693,0.0437494966458604,-0.0770909753624001,0.0363025913075192,-0.0348204235014565,0.0170952949567572,0.0236786316268422,0.22374688511074,0.372045655065963,0.278061964698583,0.200244401975973,0.301334067967635,0.167149827614244,-0.0406192633312944,-0.110113845656117,-0.349701392107994,0.135296397716647,-0.167958275862544,-0.160927594782935,-0.0674625910509487,-0.284591818823035,-0.312075734990256,-0.312287297485414,0.0291485179092211,-0.104766511033886,-0.0748934769021662,-0.509054451840003,-0.227447759046418,0.0673695637374108,-0.395612901608563,0.433476566932209,0.417298980366528,NA,NA
