"Yr","SPN_1","US_2","CAN_ERLY_5","CAN_LATE_4","JPN_ERLY_5","JPN_MID_6","JPN_LATE_7","PORT_8","CHIN-TAI_9","MOR_10","OTH_11"
1949,0,0,0,0,0,0,0,0,0,0,0
1950,1445,911,1290,0,0,0,0,0,0,0,0
1951,966,92,1523,0,0,0,0,0,0,0,0
1952,966,137,1890,0,0,0,0,0,0,0,0
1953,1203,110,1990,0,0,0,0,0,0,0,0
1954,305,156,2573,0,0,0,0,0,0,0,0
1955,619,161,2722,0,0,0,0,0,0,0,0
1956,374,223,2761,0,0,0,0,0,0,0,0
1957,1000,366,3102,0,10,0,0,0,0,0,100
1958,832,710,3219,0,43,0,0,0,0,0,100
1959,1100,690,4014,0,28,0,0,0,0,0,400
1960,722,458,2328,0,20,0,0,0,0,0,300
1961,1700,408,1913,0,54,0,0,0,0,6,300
1962,2300,424,2092,0,106,0,0,0,0,12,408
1963,1000,1250,7482,0,311,0,0,0,3,6,138
1964,1800,1384,7099,0,701,0,0,9,1,118,146
1965,1433,1227,4674,0,1027,0,0,6,1,100,184
1966,2999,614,4433,0,685,0,0,15,48,61,494
1967,2690,474,4794,0,326,0,0,11,99,34,679
1968,3551,274,4393,0,286,0,0,12,150,43,463
1969,3502,170,4257,0,152,0,0,11,283,20,808
1970,3160,287,4800,0,338,0,0,8,304,17,581
1971,3384,35,0,0,1073,0,0,11,294,33,436
1972,3210,246,0,0,939,0,0,21,168,43,139
1973,3833,406,0,0,892,0,0,37,316,18,572
1974,2893,1125,2,0,1330,0,0,92,265,15,640
1975,3747,1700,21,0,2634,0,0,58,272,15,392
1976,2816,1429,15,0,1484,0,0,32,471,12,437
1977,3309,912,113,0,1334,0,0,38,246,7,450
1978,3622,3684,2314,0,1580,0,0,17,164,11,435
1979,2582,4619,0,2970,845,0,0,29,338,208,346
1980,3810,5625,0,1885,1451,0,0,15,134,136,502
1981,4014,4530,0,561,1451,0,0,13,182,124,305
1982,4554,5410,0,554,1953,0,0,11,260,91,382
1983,7100,4820,0,1088,590,0,0,9,272,129,519
1984,6315,4749,0,499,697,0,0,14,164,81,272
1985,7441,4705,0,585,1081,0,0,22,152,137,260
1986,9719,5210,0,1059,875,0,0,468,157,181,817
1987,11135,5247,0,954,473,0,0,994,52,197,1184
1988,9799,6171,0,898,651,0,0,617,23,196,1158
1989,6648,6411,0,1247,1892,0,0,300,17,222,513
1990,6386,5519,0,911,1102,0,0,475,270,91,918
1991,6633,4525,0,1026,995,0,0,773,577,110,295
1992,6672,4235,0,1547,1067,0,0,542,441,69,821
1993,6598,4191,0,2234,1145,0,0,1961,127,39,443
1994,6185,4074,0,1676,949,0,0,1599,507,36,475
1995,6953,4552,0,1610,1059,0,0,1617,489,79,513
1996,5547,4147,0,739,1513,0,0,1703,521,462,590
1997,5140,3433,0,1094,1233,0,0,903,509,267,446
1998,4079,3491,0,1167,1391,0,0,773,286,191,845
1999,3996,3402,0,1154,1089,0,0,777,285,119,799
2000,4595,3353,0,1018,759,0,0,731,347,114,535
2001,3968,2525,0,1105,567,0,0,734,299,523,289
2002,3957,2648,0,992,319,0,0,766,310,223,439
2003,4586,2795,0,1363,263,0,0,1032,257,329,818
2004,5376,2655,0,1248,575,0,0,1320,30,335,637
2005,5521,2388,0,1664,756,0,0,900,140,334,777
2006,5448,2058,0,1442,0,721,0,949,172,341,340
2007,5564,2683,0,1409,0,1064,0,778,103,237,464
2008,4366,2592,0,1373,0,1092,0,747,82,430,368
2009,4949,2878,0,1309,0,781,0,898,89,724,454
2010,4147,2412,0,1361,0,1062,0,1054,88,963,466
2011,4889,2774,0,1558,0,0,693,1203,192,782,431
2012,5622,3610,0,1599,0,0,685,882,193,770,512
2013,4084,2944,0,1565,0,0,384,1438,124,1062,467
2014,3750,1962,0,1616,0,0,584,1241,198,1062,398
2015,3962,2254,0,1405,0,0,376,1117,146,809,480
2016,4196,2387,0,1487,0,0,398,1183,155,857,509
2017,4196,2387,0,1487,0,0,398,1183,155,857,509
