"Yr","US_2","CAN_ERLY_5","CAN_LATE_4","JPN_ERLY_5","JPN_MID_6","JPN_LATE_7","PORT_8","MOR_10","Age-5+"
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,109.27,NA,NA,NA,NA,NA,NA,NA
1963,NA,201.92,NA,NA,NA,NA,NA,NA,NA
1964,NA,79.73,NA,NA,NA,NA,NA,NA,NA
1965,NA,55.55,NA,NA,NA,NA,NA,NA,NA
1966,NA,58.74,NA,NA,NA,NA,NA,NA,NA
1967,NA,78.04,NA,NA,NA,NA,NA,NA,NA
1968,NA,54.03,NA,NA,NA,NA,NA,NA,NA
1969,NA,51.12,NA,NA,NA,NA,NA,NA,NA
1970,NA,65.66,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,27.5301,NA,NA,NA,NA,NA
1975,NA,NA,NA,18.7565,NA,NA,NA,NA,NA
1976,NA,NA,NA,20.5882,NA,NA,NA,NA,NA
1977,NA,NA,NA,5.1727,NA,NA,NA,NA,NA
1978,NA,NA,NA,5.1105,NA,NA,NA,NA,NA
1979,NA,NA,94.62,6.2764,NA,NA,NA,NA,NA
1980,NA,NA,81.66,7.043,NA,NA,NA,NA,NA
1981,NA,NA,85.02,9.9073,NA,NA,NA,NA,NA
1982,NA,NA,66.7,8.489,NA,NA,NA,NA,1.569
1983,NA,NA,57.93,11.3197,NA,NA,NA,NA,1.22
1984,NA,NA,57.23,11.4093,NA,NA,NA,NA,1.3016
1985,NA,NA,67.85,11.9203,NA,NA,NA,NA,1.2046
1986,NA,NA,112.51,7.2491,NA,NA,NA,NA,1.0476
1987,NA,NA,80.25,9.1233,NA,NA,NA,NA,1.0966
1988,NA,NA,77.46,10.1965,NA,NA,NA,NA,0.9194
1989,NA,NA,73.07,8.5092,NA,NA,NA,NA,0.8714
1990,NA,NA,105.1,5.2557,NA,NA,NA,NA,0.8257
1991,NA,NA,70.71,3.8598,NA,NA,NA,NA,0.941
1992,0.993,NA,83.75,3.9965,NA,NA,NA,NA,1.0637
1993,0.941,NA,70.63,4.3247,NA,NA,NA,NA,0.9004
1994,0.968,NA,51.84,1.9829,NA,NA,NA,NA,0.7462
1995,0.962,NA,64.4,1.2971,NA,NA,NA,NA,0.7818
1996,0.804,NA,39.37,1.6313,NA,NA,NA,NA,0.6339
1997,0.95,NA,56.1,2.7716,NA,NA,NA,NA,0.5215
1998,1.379,NA,78.32,2.7845,NA,NA,NA,NA,0.5263
1999,1.286,NA,104.47,NA,NA,NA,217.6,NA,0.4398
2000,0.99,NA,77.58,NA,NA,NA,308.5,NA,0.7633
2001,0.882,NA,89.67,NA,NA,NA,323.3,NA,0.5873
2002,1.081,NA,134.23,NA,NA,NA,281.9,NA,0.6364
2003,0.944,NA,94.73,NA,NA,NA,328.9,NA,0.7247
2004,0.81,NA,88.85,NA,NA,NA,395.9,NA,0.589
2005,1.159,NA,106.22,NA,NA,NA,305.2,558.3,0.5703
2006,1.075,NA,92.8,NA,4.74,NA,301.2,277.4,0.5483
2007,1.347,NA,86.94,NA,5.823,NA,329.4,227.1,0.8032
2008,1.249,NA,110.49,NA,9.318,NA,305.1,294.3,0.7319
2009,1.035,NA,96.25,NA,18.956,NA,365.6,294.7,0.792
2010,0.736,NA,137.25,NA,18.937,NA,416.4,450.5,0.524
2011,1.011,NA,100.51,NA,NA,26.051,357,314.4,0.6963
2012,1.025,NA,108.48,NA,NA,21.305,487.2,331.4,0.9326
2013,0.92,NA,105.22,NA,NA,7.574,457.2,362.9,0.5513
2014,0.719,NA,84.92,NA,NA,11.709,426.2,273.4,1.2763
2015,0.733,NA,88.35,NA,NA,20.417,583.3,304.9,1.3314
2016,NA,NA,65.27,NA,NA,NA,551.6,357.7,NA
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA
